JunctionID	SJ.Chr	SJ.Start	SJ.Stop	SJ.Strand	Gene	Copy_Name	Copy_Count	SRR924570.F.	SRR924573.F.	SRR924582.F.	SRR924585.F.	SRR924202.F.	SRR924485.F.	SRR924539.F.	SRR924540.F.	SRR924541.F.	SRR924542.F.	SRR924546.F.	SRR924547.F.	SRR924548.F.	SRR924549.F.	SRR924550.F.	SRR924551.F.	SRR924552.F.	SRR924553.F.	SRR924554.F.	SRR924555.F.	SRR924556.F.	SRR924557.F.	SRR924558.F.	SRR924559.F.	SRR924561.F.	SRR924564.F.	SRR924567.F.
Contig1_160	Contig1	384173	384284	-	RJF.Contig1.LOC50.MHCY18i	MHCY-i	3	0.0169333333333333	0.0423333333333333	1.63666666666667	1.18333333333333	0.194	0.35	0.583333333333333	0.0396666666666667	0.0496666666666667	0	0.0222333333333333	0	0.086	0.17	0.302333333333333	0.0793333333333333	0.0443333333333333	0.085	0.533333333333333	0.0793333333333333	0.118	0.56	1.25333333333333	0.0383333333333333	0.0376666666666667	0.993333333333333	0.299
Contig1_166	Contig1	396079	396161	-	RJF.Contig1.LOC51.MHCY19t	MHCY-t	3	0	0	0.121333333333333	0.0416666666666667	0.0766666666666667	0.0416666666666667	0.0666666666666667	0.00496666666666667	0	0	0.0111	0	0	0.034	0.00616666666666667	0	0.004	0	0.049	0.0396666666666667	0.00693333333333333	0.0526666666666667	0.0783333333333333	0	0.00536666666666667	0.109	0.0803333333333333
Contig1_156	Contig1	385617	385742	-	RJF.Contig1.LOC50.MHCY18i	MHCY-i	3	0	0.0047	1.04666666666667	0.783333333333333	0.224	0.133333333333333	0.216666666666667	0.0248666666666667	0.0248666666666667	0.023	0.0776666666666667	0	0.0107666666666667	0.102	0.265333333333333	0.0633333333333333	0.0160666666666667	0.0212666666666667	0.175666666666667	0.158666666666667	0.0139	0.193	0.393333333333333	0.0256333333333333	0.0161333333333333	0.953333333333333	0.299
Contig1_131	Contig1	349542	349731	+	RJF.Contig1.LOC43.YLEC18f	YLEC-f	3	0	0	0.053	0.025	0	0.00833333333333333	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0.0294	0	0	0.0033	0
Contig1_031	Contig1	192533	192627	-	RJF.Contig1.LOC16.MHCY3h	MHCY-h	2	0.3985	1.79	71.5	49.35	3.635	25.4	32.9	0.71	0.785	0.431	0.65	0.3685	3.145	6.4	12.9	0.835	0.585	7.6	14.5	4.81	6.15	52	105.5	0.635	0.825	9.3	6.9
Contig1_090	Contig1	274985	275229	-	RJF.Contig1.LOC32.MHCY9i	MHCY-i	3	0.0396666666666667	0.248666666666667	19.7666666666667	14.5333333333333	0.523333333333333	12.4	10.5333333333333	0.139333333333333	0.159333333333333	0.103333333333333	0.0776666666666667	0.122666666666667	0.7	1	2.48	0.135	0.0883333333333333	2.66	1.19	0.943333333333333	1.12666666666667	10.7666666666667	26.7666666666667	2.04	1.52	1.54333333333333	0.553333333333333
Contig1_110	Contig1	312716	312798	+	RJF.Contig1.LOC37.MHCY12q	MHCY-q	1	0	0.366	2.11	1.8	0.82	1.12	3.25	0.104	0.0896	0.103	0.1	0.158	0.484	0.959	1.65	0.0952	0.0843	0.426	2.08	0.81	0.854	2.11	4.74	0.0962	0.0968	1.07	1.59
Contig1_019	Contig1	174992	175086	-	RJF.Contig1.LOC13.MHCY1d	MHCY-d	1	0.0339	0.296	7.23	5.25	1.33	1.68	3.95	0.284	0.358	0.103	0.267	0.158	0.774	1.51	2.31	0.357	0.193	0.872	3.14	0.881	0.708	6.97	9.47	0.0769	0.145	3.8	1.72
Contig1_069	Contig1	233553	233775	-	RJF.Contig1.LOC24.YLEC10c	YLEC-c	2	0.11	0.345	23	11.4	0.71	2.2	3.46	0.1715	0.052	0	0.0835	0	0.4355	0.835	0.925	0.0835	0.0785	0.615	1.7	1.415	1.28	2.04	3.13	0.279	0.4275	1.01	1.155
Contig1_083	Contig1	268637	268832	+	RJF.Contig1.LOC31.YLEC13d	YLEC-d	2	0	0	0.091	0.0875	0.0082	0.025	0.1625	0	0.0224	0	0	0	0.4515	0	0.00925	0	0	0.01065	0.00775	0	0	0.342	0.2205	0	0.00805	0.0396	0
Contig1_171	Contig1	408483	408562	-	RJF.Contig1.LOC52.MHCY20o	MHCY-o	3	0	0.0328666666666667	0.606666666666667	0.3	0.613333333333333	0.116666666666667	0.316666666666667	0.154333333333333	0.0696666666666667	0.0803333333333333	0.177666666666667	0.0175333333333333	0.0107666666666667	0.245	0.271666666666667	0.190333333333333	0.0603333333333333	0.0071	1.09666666666667	0.174666666666667	0.0626666666666667	0.456666666666667	0.5	0.0128333333333333	0.0322666666666667	2.36333333333333	0.69
Contig1_119	Contig1	326020	326204	-	RJF.Contig1.LOC39.MHCY13e	MHCY-e	3	0.00563333333333333	0.0094	0.37	0.291666666666667	0.496666666666667	0.183333333333333	0.316666666666667	0.0996666666666667	0.114333333333333	0.069	0.111	0	0	0.456666666666667	0.563333333333333	0.135	0.0120333333333333	0.0142	0.47	0.0873333333333333	0.0139	1	1.58666666666667	0.0256333333333333	0.0215	2.68666666666667	0.483333333333333
Contig1_077	Contig1	264322	264566	-	RJF.Contig1.LOC30.MHCY8a	MHCY-a	3	0.169333333333333	0.76	48.6666666666667	32.6666666666667	2.50666666666667	12.9666666666667	10.7666666666667	0.426666666666667	0.323333333333333	0.516666666666667	0.39	0.158	1.51666666666667	7.86666666666667	16.7666666666667	0.893333333333333	0.281	3.56666666666667	3.02	2.63333333333333	3.53333333333333	80.3333333333333	146	0.833333333333333	0.92	18.2	2.33333333333333
Contig1_144	Contig1	374448	374692	-	RJF.Contig1.LOC48.MHCY17a	MHCY-a	3	0.169333333333333	0.76	48.6666666666667	32.6333333333333	2.50666666666667	12.9333333333333	10.7666666666667	0.426666666666667	0.323333333333333	0.516666666666667	0.39	0.158	1.51666666666667	7.86666666666667	16.7666666666667	0.893333333333333	0.281	3.56666666666667	3.02	2.63333333333333	3.53333333333333	80.3333333333333	145.666666666667	0.833333333333333	0.913333333333333	18.2	2.33333333333333
Contig1_099	Contig1	285953	286035	-	RJF.Contig1.LOC33.MHCY10t	MHCY-t	3	0	0	0.121333333333333	0.0416666666666667	0.0766666666666667	0.0416666666666667	0.0666666666666667	0.00496666666666667	0	0	0.0111	0	0	0.034	0.00616666666666667	0	0.004	0	0.0543333333333333	0.0396666666666667	0.00693333333333333	0.0526666666666667	0.0783333333333333	0	0.00536666666666667	0.109	0.0803333333333333
Contig1_088	Contig1	270259	270481	+	RJF.Contig1.LOC31.YLEC13d	YLEC-d	2	0	0	0.01135	0.0125	0.0123	0	0.1125	0	0.00745	0	0	0	0.0805	0.0204	0	0.01785	0.006	0	0	0	0	0.01315	0.059	0	0	0.04455	0.0345
Contig1_158	Contig1	384740	384834	-	RJF.Contig1.LOC50.MHCY18i	MHCY-i	3	0	0.122	9.76666666666667	7.26666666666667	0.262333333333333	1.46	1.46666666666667	0.0496666666666667	0.0446666666666667	0.046	0.0333333333333333	0.0175333333333333	0.086	0.306	0.686666666666667	0.0713333333333333	0.0281	0.163	0.593333333333333	0.325333333333333	0.173666666666667	2.98333333333333	6.4	0.0256333333333333	0.07	1.27666666666667	0.343333333333333
Contig1_003	Contig1	128081	128163	+	RJF.Contig1.LOC06.MHCY2B1a	MHCY-B-a	1	0	0	0	0	0.0082	0	0.05	0.0149	0	0	0.0333	0	0	0	0	0	0	0	0.0233	0	0	0	0	0	0	0	0
Contig1_104	Contig1	298357	298436	-	RJF.Contig1.LOC34.MHCY11o	MHCY-o	3	0	0.0328666666666667	0.606666666666667	0.3	0.613333333333333	0.116666666666667	0.316666666666667	0.154333333333333	0.0696666666666667	0.0803333333333333	0.177666666666667	0.0175333333333333	0.0107666666666667	0.245	0.271666666666667	0.190333333333333	0.0603333333333333	0.0071	1.09666666666667	0.174666666666667	0.0626666666666667	0.456666666666667	0.5	0.0128333333333333	0.0322666666666667	2.36333333333333	0.69
Contig1_053	Contig1	229041	229133	-	RJF.Contig1.LOC22.YLEC8a	YLEC-a	2	0.4575	1.69	135.5	69	2.015	14.95	20.95	0.4105	0.291	0.224	0.3665	0.2105	1.615	2.755	3.045	0.238	0.1625	4.385	5.55	4.51	5.8	11.95	21.15	1.25	1.595	2.515	4.19
Contig1_138	Contig1	353646	353900	+	RJF.Contig1.LOC44.MHCY15m	MHCY-m	2	5.2	5.6	7.95	6.9	0.53	2.485	1.925	0.082	0.0224	0.0345	0.05	0.685	3.5	1.41	2.75	0.04165	0.03615	0.66	0.2095	0.357	1.355	1.84	7.15	2.7	2.385	0.277	0.1895
Contig1_094	Contig1	273856	274013	-	RJF.Contig1.LOC32.MHCY9i	MHCY-i	3	0.0282333333333333	0.0846666666666667	2.54666666666667	1.51666666666667	0.406666666666667	0.56	1.17333333333333	0.119333333333333	0.0696666666666667	0.023	0.0666666666666667	0.0175333333333333	0.0107666666666667	0.251666666666667	0.523333333333333	0.123	0.0643333333333333	0.156	1.18	0.222333333333333	0.125	1.01	1.86333333333333	0.160333333333333	0.086	1.22	0.413333333333333
Contig1_037	Contig1	205141	205385	-	RJF.Contig1.LOC17.MHCY4v	MHCY-v	4	0.02975	0.1725	10.875	5.625	0.9125	2.175	3.05	0.138	0.16425	0.12925	0.13325	0.06575	0.63	1.485	2.365	0.25	0.1085	0.2975	1.2175	0.505	0.485	8.675	12.6	0.149	0.1895	5.1	1.095
Contig1_151	Contig1	379090	379185	+	RJF.Contig1.LOC49.YLEC19d	YLEC-d	2	0.00845	0.00705	0.193	0.125	0.0369	0.0375	0.535	0	0.01495	0	0	0	0.905	0.051	0.065	0	0	0.01065	0.0194	0	0.0104	0.645	0.62	0.01925	0	0.119	0.069
Contig1_054	Contig1	228801	228885	-	RJF.Contig1.LOC22.YLEC8a	YLEC-a	2	0.127	0.2465	11.75	4.375	1.025	1.5	2.175	0.239	0.0595	0.1205	0.1165	0	0.113	0.4185	0.675	0.0895	0.0785	0.1915	2.86	1.25	0.77	1.355	1.675	0.1925	0.3385	1.54	2.105
Contig1_163	Contig1	397306	397431	-	RJF.Contig1.LOC51.MHCY19t	MHCY-t	3	0	0	0.106	0.0666666666666667	0.0493333333333333	0.00833333333333333	0.0416666666666667	0	0	0	0	0	0	0.0204	0.0493333333333333	0.00396666666666667	0	0.0071	0.0206666666666667	0.0317333333333333	0	0.00876666666666667	0.049	0	0	0.076	0.023
Contig1_074	Contig1	245272	245392	+	RJF.Contig1.LOC27.MHCY7l	MHCY-l	2	0.0254	0.04225	1.85	1.175	0.4385	0.59	0.5	0.3435	0.097	0.138	0.1165	0.0525	0.097	0.1325	0.2595	0.107	0.1265	0.1065	1.15	0.107	0.1355	0.25	0.825	0.1155	0.137	0.6	0.5
Contig1_113	Contig1	327878	328003	-	RJF.Contig1.LOC39.MHCY13e	MHCY-e	3	0	0.0047	0.181666666666667	0.108333333333333	0.356666666666667	0.0416666666666667	0.0666666666666667	0.0696666666666667	0.0446666666666667	0.0343333333333333	0.0666666666666667	0	0.0107666666666667	0.224333333333333	0.383333333333333	0.119	0.0321333333333333	0.0071	0.333333333333333	0.0793333333333333	0.0139	0.219333333333333	0.45	0	0.0215	2.56666666666667	0.310333333333333
Contig1_068	Contig1	233883	234147	-	RJF.Contig1.LOC24.YLEC10c	YLEC-c	2	0.00845	0.0352	2.465	0.925	0.217	0.1875	0.535	0.052	0.01495	0	0.03335	0	0.0484	0.0815	0.102	0.02975	0.0241	0.0319	0.337	0.0715	0.198	0.3025	0.412	0.0481	0.0403	0.3465	0.345
Contig1_050	Contig1	223846	223940	+	RJF.Contig1.LOC21.MHCY6u	MHCY-u	2	0.2375	0.59	19.7	9.8	1.605	4.95	8.05	1.77	1.045	1.015	1.315	0.079	0.4355	1.51	2.47	1.105	1.09	0.63	2.44	1.225	1.02	3.065	5.7	0.221	0.4595	1.505	1.62
Contig1_060	Contig1	231765	231849	-	RJF.Contig1.LOC23.YLEC9b	YLEC-b	2	0.068	0.3875	16.45	8.1	0.615	1.6	2.915	0.127	0.052	0.138	0.1	0	0.226	0.685	0.76	0.0775	0.0301	0.4255	1.75	1.085	1.145	1.5	2.59	0.2885	0.4435	0.83	1.5
Contig1_107	Contig1	311440	311565	+	RJF.Contig1.LOC37.MHCY12q	MHCY-q	1	0	0	0.477	0.45	0.598	0.125	0.65	0.0746	0.0746	0.069	0.0333	0	0.129	0.102	0.593	0.131	0.0482	0.0426	1.06	0.286	0.146	0.368	0.676	0	0.0161	1.08	1.28
Contig1_161	Contig1	383982	384139	-	RJF.Contig1.LOC50.MHCY18i	MHCY-i	3	0.0282333333333333	0.0846666666666667	2.54666666666667	1.51666666666667	0.406666666666667	0.56	1.17333333333333	0.119333333333333	0.0696666666666667	0.023	0.0666666666666667	0.0175333333333333	0.0107666666666667	0.251666666666667	0.523333333333333	0.123	0.0643333333333333	0.156	1.18	0.222333333333333	0.125	1.01	1.86333333333333	0.160333333333333	0.086	1.22	0.413333333333333
Contig1_130	Contig1	338196	338305	-	RJF.Contig1.LOC42.MHCY14s	MHCY-s	3	0	0	0.0303	0.0583333333333333	0.0383333333333333	0.0166666666666667	0.0166666666666667	0.00996666666666667	0	0	0	0	0.0322666666666667	0.0136	0.0185333333333333	0.00793333333333333	0.004	0.0142	0.062	0.0158666666666667	0.0277666666666667	0.044	0.0883333333333333	0	0	0.0363333333333333	0.0343333333333333
Contig1_087	Contig1	269887	270151	+	RJF.Contig1.LOC31.YLEC13d	YLEC-d	2	0	0.0352	2.475	1.25	0.1475	0.45	0.76	0.0224	0.01495	0.01725	0.01665	0	0.258	0.245	0.074	0.0238	0.01205	0.064	0.318	0.2145	0.177	0.54	0.545	0.02885	0.00805	0.213	0.276
Contig1_095	Contig1	273639	273822	-	RJF.Contig1.LOC32.MHCY9i	MHCY-i	3	0.0226	0.0703333333333333	3.05333333333333	2.18333333333333	0.46	0.693333333333333	1.26666666666667	0.134333333333333	0.0796666666666667	0.103333333333333	0.089	0.035	0.043	0.326666666666667	0.543333333333333	0.119	0.0923333333333333	0.127666666666667	1.28666666666667	0.214333333333333	0.187333333333333	1.15	2.16666666666667	0.173	0.145	1.43666666666667	0.62
Contig1_135	Contig1	350784	351048	+	RJF.Contig1.LOC43.YLEC18f	YLEC-f	3	0.0113	0	0.0151666666666667	0.0333333333333333	0.0191333333333333	0	0.025	0	0	0	0	0	0.0966666666666667	0	0	0	0	0	0.00258333333333333	0	0	0.0175333333333333	0.0294	0	0	0.0066	0
Contig1_112	Contig1	313046	313203	+	RJF.Contig1.LOC37.MHCY12q	MHCY-q	1	0	0	0	0	0	0	0	0.0149	0	0	0	0	0	0	0.0185	0	0	0	0.0233	0	0	0	0	0	0	0.0198	0
Contig1_086	Contig1	269408	269704	+	RJF.Contig1.LOC31.YLEC13d	YLEC-d	2	0	0.00705	0.068	0.0375	0.0535	0.075	0.1375	0.00745	0	0	0.01665	0	0.1935	0.0408	0.0463	0.0238	0.006	0.01065	0.02325	0.0119	0	0.3025	0.25	0.01925	0.00805	0.223	0.01725
Contig1_018	Contig1	175363	175607	-	RJF.Contig1.LOC13.MHCY1d	MHCY-d	1	0.0847	0.366	13.8	9.1	0.746	4.38	5.12	0.224	0.134	0.103	0.167	0.421	1.39	1.59	2.48	0.19	0.205	1.45	1.29	0.857	0.812	9.42	21.7	0.192	0.323	1.95	0.655
Contig1_170	Contig1	408836	408930	-	RJF.Contig1.LOC52.MHCY20o	MHCY-o	3	0.0733333333333333	0.36	28.3	17.7666666666667	0.746666666666667	7.83333333333333	6.2	0.204	0.214	0.218333333333333	0.166666666666667	0.0526666666666667	0.42	2.09666666666667	3.16666666666667	0.321333333333333	0.192666666666667	1.2	1.45	0.96	1.59	22.3666666666667	42.6666666666667	0.320666666666667	0.423333333333333	3.30666666666667	0.873333333333333
Contig1_124	Contig1	335093	335357	+	RJF.Contig1.LOC41.YLEC17e	YLEC-e	3	0	0	0.310666666666667	0.183333333333333	0.0164	0.0416666666666667	0.025	0	0	0	0	0	0.0215	0.0068	0.0247	0	0	0	0.0543333333333333	0.00793333333333333	0.0139	0.0526666666666667	0.098	0	0.00536666666666667	0.0231	0.0573333333333333
Contig1_121	Contig1	334176	334268	+	RJF.Contig1.LOC41.YLEC17e	YLEC-e	3	0	0	0.091	0.0583333333333333	0.00546666666666667	0.00833333333333333	0.025	0	0.00496666666666667	0	0.0111	0.0175333333333333	0	0	0.00616666666666667	0	0.004	0	0.00776666666666667	0	0	0.00876666666666667	0.0393333333333333	0	0.0107666666666667	0.0198	0.046
Contig1_093	Contig1	274047	274158	-	RJF.Contig1.LOC32.MHCY9i	MHCY-i	3	0.0169333333333333	0.0423333333333333	1.63666666666667	1.18333333333333	0.194	0.35	0.59	0.0446666666666667	0.0496666666666667	0	0.0222333333333333	0	0.086	0.17	0.302333333333333	0.0793333333333333	0.0443333333333333	0.085	0.533333333333333	0.0793333333333333	0.118	0.56	1.25333333333333	0.0383333333333333	0.0376666666666667	0.996666666666667	0.299
Contig1_045	Contig1	209789	209898	-	RJF.Contig1.LOC19.MHCY5f	MHCY-f	1	0.559	1.51	20.2	15	8.7	10.1	20.4	1.55	1.43	1.03	1.43	0.684	1.48	6.96	10.7	1.52	1.04	3.09	36.2	5.64	3.6	20.6	29.5	0.712	0.484	25.2	18.6
Contig1_084	Contig1	268964	269059	+	RJF.Contig1.LOC31.YLEC13d	YLEC-d	2	0.00845	0.00705	0.193	0.125	0.0369	0.0375	0.535	0	0.01495	0	0	0	0.905	0.051	0.065	0	0	0.01065	0.0194	0	0.0104	0.645	0.62	0.01925	0	0.1285	0.069
Contig1_145	Contig1	374091	374171	-	RJF.Contig1.LOC48.MHCY17a	MHCY-a	3	0.096	0.305	20.5333333333333	12.2	3.5	5.86666666666667	5.76666666666667	0.726666666666667	0.426666666666667	0.62	0.423333333333333	0.122666666666667	0.623333333333333	4.3	7.76666666666667	1.08	0.333333333333333	1.12	3.76666666666667	1.63333333333333	1.43666666666667	41.3333333333333	48.3333333333333	0.54	0.616666666666667	25.0333333333333	3.56666666666667
Contig1_152	Contig1	379344	379428	+	RJF.Contig1.LOC49.YLEC19d	YLEC-d	2	0.00845	0	0.01135	0	0.0205	0	0.025	0	0	0.01725	0	0	0.03225	0.0102	0.0185	0.00595	0	0	0.0349	0	0	0.066	0	0	0	0.094	0
Contig1_011	Contig1	159766	159870	+	RJF.Contig1.LOC11.ZNFY2a	ZNFY-a	3	0.096	0.103333333333333	0.212	0.0916666666666667	0.336666666666667	0.241666666666667	0.35	0.328333333333333	0.363333333333333	0.253	0.39	0.035	0.107666666666667	0.204	0.240666666666667	0.34	0.325333333333333	0.085	0.47	0.198333333333333	0.0973333333333333	0.272	0.373333333333333	0.346666666666667	0.506666666666667	0.543333333333333	0.218333333333333
Contig1_109	Contig1	312348	312442	+	RJF.Contig1.LOC37.MHCY12q	MHCY-q	1	0.0339	0.169	2.39	2.23	0.992	1.4	2.52	0.0746	0.164	0.207	0.0333	0.105	0.677	0.551	1.09	0.119	0.0843	0.234	1.78	0.381	0.5	2.63	5.18	0.0769	0.129	1.45	1.21
Contig1_013	Contig1	166681	166789	-	RJF.Contig1.LOC12.MHCY2B2b	MHCY-B-b	1	0	0.0282	0	0.05	0.631	0.1	0.225	0.0149	0	0	0	0	0	0.102	0.13	0	0	0.0213	0.155	0	0.0208	0.0789	0.235	0.0192	0	0.0396	0.103
Contig1_136	Contig1	351156	351378	+	RJF.Contig1.LOC43.YLEC18f	YLEC-f	3	0	0	0.0227333333333333	0.00833333333333333	0.0082	0	0.025	0	0	0	0	0	0.107666666666667	0	0.0123333333333333	0	0	0	0.00258333333333333	0.0158666666666667	0	0.00876666666666667	0.0098	0	0	0.0198	0
Contig1_076	Contig1	264828	264953	-	RJF.Contig1.LOC30.MHCY8a	MHCY-a	3	0.0169333333333333	0.0563333333333333	2.63	1.85	3.09333333333333	0.866666666666667	1.27666666666667	0.573333333333333	0.426666666666667	0.333333333333333	0.51	0	0.0322666666666667	2.77	5.46666666666667	0.903333333333333	0.277	0.276666666666667	2.54	1.44333333333333	0.326333333333333	1.98333333333333	3.83333333333333	0.128333333333333	0.215	20.3333333333333	2.94333333333333
Contig1_139	Contig1	354177	354271	+	RJF.Contig1.LOC44.MHCY15m	MHCY-m	2	2.305	2.05	0.1025	0.0375	0.459	0.025	0.0625	0.00745	0	0	0	0.0525	0.515	0.825	1.1	0	0	0	0.0155	0.0595	0.1875	0.0263	0.0294	0.95	0.99	0.0198	0.01725
