JunctionID	SJ.Chr	SJ.Start	SJ.Stop	SJ.Strand	Gene	SRR924570.M.proventriculus	SRR924573.F.proventriculus	SRR924582.M.spleen	SRR924585.F.spleen	SRR924202.M.adrenal_gland	SRR924485.M.adipose	SRR924539.F.adipose	SRR924540.M.cerebellum	SRR924541.F.cerebellum	SRR924542.M.cerebrum	SRR924546.F.cerebrum	SRR924547.M.testes	SRR924548.F.ovary	SRR924549.M.heart	SRR924550.F.heart	SRR924551.M.hypothalamus	SRR924552.F.hypothalamus	SRR924553.M.kidney	SRR924554.F.kidney	SRR924555.M.liver	SRR924556.F.liver	SRR924557.M.lung	SRR924558.F.lung	SRR924559.M.breast_muscle	SRR924561.F.breast_muscle	SRR924564.M.sciatic nerve	SRR924567.F.sciatic nerve
Contig1_050	Contig1	223846	223940	+	RJF.Contig1.LOC21.MHCY6u	0	0	0.0698	0	0.00833	0	0.05	0	0	0.0345	0.0345	0	0	0	0	0	0	0	0.0159	0	0	0.027	0	0	0	0	0
Contig1_060	Contig1	231765	231849	-	RJF.Contig1.LOC23.YLEC9b	0.0175	0.0147	0.512	0.0263	0.00833	0.0256	0.025	0	0	0	0	0	0	0.0833	0	0	0	0	0.0794	0	0	0.027	0.0606	0	0	0.0204	0.0714
Contig1_107	Contig1	311440	311565	+	RJF.Contig1.LOC37.MHCY12q	0	0	0.488	0.474	0.608	0.128	0.65	0.0758	0.0758	0.069	0.0345	0	0.138	0.104	0.604	0.131	0.0366	0.0444	1.08	0.282	0.189	0.378	0.697	0	0.0167	1.11	1.32
Contig1_161	Contig1	383982	384139	-	RJF.Contig1.LOC50.MHCY18i	0	0	0	0.0263	0	0.0769	0.025	0.0152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102	0
Contig1_130	Contig1	338196	338305	-	RJF.Contig1.LOC42.MHCY14s	0	0	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_087	Contig1	269887	270151	+	RJF.Contig1.LOC31.YLEC13d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_095	Contig1	273639	273822	-	RJF.Contig1.LOC32.MHCY9i	0	0	0.0465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00794	0	0	0	0.0303	0	0.0167	0.0306	0
Contig1_135	Contig1	350784	351048	+	RJF.Contig1.LOC43.YLEC18f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_112	Contig1	313046	313203	+	RJF.Contig1.LOC37.MHCY12q	0	0	0	0	0	0	0	0.0152	0	0	0	0	0	0	0.0189	0	0	0	0.0238	0	0	0	0	0	0	0.0204	0
Contig1_086	Contig1	269408	269704	+	RJF.Contig1.LOC31.YLEC13d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_018	Contig1	175363	175607	-	RJF.Contig1.LOC13.MHCY1d	0.0877	0.382	14.1	9.53	0.75	4.49	5.12	0.212	0.136	0.103	0.172	0.533	1.48	1.62	2.53	0.19	0.195	1.51	1.31	0.923	1.05	9.68	22.4	0.204	0.333	1.98	0.643
Contig1_170	Contig1	408836	408930	-	RJF.Contig1.LOC52.MHCY20o	0	0.0147	0.791	0.368	0.0167	0.0769	0.15	0	0	0	0	0	0.0345	0	0.0943	0	0	0.0222	0.0317	0	0.0541	0.432	1.15	0	0	0.0408	0.0357
Contig1_124	Contig1	335093	335357	+	RJF.Contig1.LOC41.YLEC17e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_121	Contig1	334176	334268	+	RJF.Contig1.LOC41.YLEC17e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204	0
Contig1_093	Contig1	274047	274158	-	RJF.Contig1.LOC32.MHCY9i	0	0.0147	0.0465	0.0789	0	0.103	0.025	0.0152	0	0	0	0	0	0	0.0566	0	0	0	0.0159	0	0	0	0.152	0	0	0.0408	0
Contig1_045	Contig1	209789	209898	-	RJF.Contig1.LOC19.MHCY5f	0	0	0.209	0.132	0.183	0.154	0.1	0.0152	0.0455	0	0	0	0	0.0417	0.245	0.0595	0.0366	0.0667	1.17	0.282	0.0541	0.162	0.303	0	0.0333	0.786	0.357
Contig1_084	Contig1	268964	269059	+	RJF.Contig1.LOC31.YLEC13d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102	0
Contig1_145	Contig1	374091	374171	-	RJF.Contig1.LOC48.MHCY17a	0	0	0.558	0.316	0.0333	0.282	0.225	0.0152	0.0152	0.0345	0	0.0667	0.103	0.167	0.189	0	0	0.0222	0.0317	0.0769	0.0541	1.08	1.55	0	0	0.449	0.0357
Contig1_152	Contig1	379344	379428	+	RJF.Contig1.LOC49.YLEC19d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_011	Contig1	159766	159870	+	RJF.Contig1.LOC11.ZNFY2a	0	0	0	0	0.0167	0	0	0.0152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102	0
Contig1_109	Contig1	312348	312442	+	RJF.Contig1.LOC37.MHCY12q	0.0351	0.176	2.4	2.32	1	1.44	2.52	0.0758	0.167	0.207	0.0345	0.133	0.724	0.521	1.09	0.119	0.0854	0.244	1.83	0.41	0.649	2.62	5.3	0.0816	0.133	1.47	1.25
Contig1_013	Contig1	166681	166789	-	RJF.Contig1.LOC12.MHCY2B2b	0	0	0	0	0.0417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_136	Contig1	351156	351378	+	RJF.Contig1.LOC43.YLEC18f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_076	Contig1	264828	264953	-	RJF.Contig1.LOC30.MHCY8a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0	0	0	0.0306	0.0357
Contig1_139	Contig1	354177	354271	+	RJF.Contig1.LOC44.MHCY15m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_169	Contig1	409207	409451	-	RJF.Contig1.LOC52.MHCY20o	0	0	0.0233	0.0263	0.0167	0	0.075	0	0	0	0	0	0.0345	0	0.0566	0.0119	0	0	0	0	0	0.027	0.121	0	0	0.0714	0
Contig1_143	Contig1	374954	375079	-	RJF.Contig1.LOC48.MHCY17a	0	0	0.0233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0303	0	0	0.0816	0.0357
Contig1_147	Contig1	373519	373632	-	RJF.Contig1.LOC48.MHCY17a	0	0	0.209	0.132	0.0333	0.103	0.15	0.0152	0.0152	0.0345	0.0345	0	0	0.0417	0.0566	0	0.0122	0	0.0635	0.0256	0	0.27	0.182	0.0204	0	0.316	0
Contig1_080	Contig1	263393	263506	-	RJF.Contig1.LOC30.MHCY8a	0	0	0.209	0.105	0.0333	0.103	0.125	0	0.0152	0.0345	0	0	0	0.0625	0.0566	0	0.0122	0	0.0476	0.0256	0	0.27	0.212	0.0204	0	0.378	0.0357
Contig1_044	Contig1	210001	210083	-	RJF.Contig1.LOC19.MHCY5f	0	0	0.0233	0.0789	0.125	0.0256	0.075	0.0152	0.0455	0	0.069	0	0	0.0208	0.0755	0.0357	0.0366	0	0.794	0.0513	0	0.108	0.303	0	0	0.786	0.321
Contig1_097	Contig1	286680	286918	-	RJF.Contig1.LOC33.MHCY10t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_127	Contig1	339135	339375	-	RJF.Contig1.LOC42.MHCY14s	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_100	Contig1	285741	285850	-	RJF.Contig1.LOC33.MHCY10t	0	0.0147	0.0233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_029	Contig1	193406	193531	-	RJF.Contig1.LOC16.MHCY3h	0	0	0	0	0	0	0	0.0152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_153	Contig1	379534	379830	+	RJF.Contig1.LOC49.YLEC19d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102	0
Contig1_159	Contig1	384387	384466	-	RJF.Contig1.LOC50.MHCY18i	0	0	0	0.0263	0.00833	0.0256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_005	Contig1	128386	128472	+	RJF.Contig1.LOC06.MHCY2B1a	0	0	0.0233	0.0263	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0159	0	0	0	0	0	0	0.0102	0
Contig1_108	Contig1	311827	312071	+	RJF.Contig1.LOC37.MHCY12q	0.0351	0.456	9.42	9.58	0.658	6.15	7.83	0.0606	0.152	0.069	0.103	0.6	3.21	0.958	2.7	0.107	0.0976	1.53	1.9	1.15	2.16	9.68	22.8	0.0816	0.183	1.35	1.46
Contig1_120	Contig1	333851	334044	+	RJF.Contig1.LOC41.YLEC17e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_154	Contig1	380013	380277	+	RJF.Contig1.LOC49.YLEC19d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_028	Contig1	186376	186489	-	RJF.Contig1.LOC14.MHCY2v	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_022	Contig1	174251	174408	-	RJF.Contig1.LOC13.MHCY1d	0.0175	0.0294	0.744	0.421	1.02	0.333	0.4	0.167	0.227	0.103	0.138	0	0.0345	0.312	0.453	0.262	0.171	0.133	2.5	0.41	0.297	0.892	1.42	0.0612	0.0667	2.11	1.18
Contig1_173	Contig1	408076	408233	-	RJF.Contig1.LOC52.MHCY20o	0	0	0.0698	0.0263	0	0.0256	0	0	0	0	0	0	0	0	0	0	0	0.0222	0.00794	0	0	0.0541	0.0303	0	0	0.0102	0.0357
Contig1_165	Contig1	396435	396529	-	RJF.Contig1.LOC51.MHCY19t	0	0	0.0465	0.0263	0.0167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_038	Contig1	204770	204864	-	RJF.Contig1.LOC17.MHCY4v	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_081	Contig1	263204	263359	-	RJF.Contig1.LOC30.MHCY8a	0	0	0.116	0.0789	0.025	0.0513	0.025	0	0	0	0	0	0	0.0417	0.0377	0	0	0	0.0317	0	0	0.027	0.0909	0.0204	0	0.204	0.0357
Contig1_007	Contig1	134810	135441	-	RJF.Contig1.LOC07.ZNFY1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_004	Contig1	128275	128361	+	RJF.Contig1.LOC06.MHCY2B1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_118	Contig1	326238	326395	-	RJF.Contig1.LOC39.MHCY13e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357
Contig1_129	Contig1	338408	338490	-	RJF.Contig1.LOC42.MHCY14s	0	0	0	0.0263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0	0	0	0	0
Contig1_078	Contig1	263965	264045	-	RJF.Contig1.LOC30.MHCY8a	0	0	0.558	0.289	0.0333	0.282	0.225	0	0.0152	0.0345	0	0.0667	0.103	0.167	0.189	0	0	0.0222	0.0397	0.0769	0.0541	1.08	1.55	0	0	0.449	0.0357
Contig1_016	Contig1	166010	166096	-	RJF.Contig1.LOC12.MHCY2B2b	0	0.0147	0	0.0263	0.45	0	0.025	0	0	0	0	0.0667	0	0.0208	0	0	0	0	0.0476	0	0	0	0.0606	0	0.0333	0.0408	0.0714
Contig1_092	Contig1	274261	274340	-	RJF.Contig1.LOC32.MHCY9i	0	0	0	0.0263	0.00833	0.0256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_012	Contig1	167060	167291	-	RJF.Contig1.LOC12.MHCY2B2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_066	Contig1	234730	234814	-	RJF.Contig1.LOC24.YLEC10c	0	0	0	0	0.00833	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00794	0	0	0	0	0	0	0	0
Contig1_122	Contig1	334424	334508	+	RJF.Contig1.LOC41.YLEC17e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_021	Contig1	174442	174536	-	RJF.Contig1.LOC13.MHCY1d	0.0175	0.0588	1.23	1.08	1.07	0.769	0.625	0.212	0.258	0.103	0.207	0.0667	0.069	0.542	0.811	0.226	0.11	0.0889	2.92	0.436	0.243	1.32	1.88	0.0408	0.183	2.44	1.04
Contig1_148	Contig1	373330	373485	-	RJF.Contig1.LOC48.MHCY17a	0	0	0.116	0.0789	0.0167	0.0513	0.025	0	0	0	0.0345	0	0	0.0833	0.0377	0	0.0122	0	0.0159	0	0	0.027	0.0909	0.0204	0	0.235	0.0357
Contig1_008	Contig1	134606	134710	-	RJF.Contig1.LOC07.ZNFY1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_056	Contig1	227964	228218	-	RJF.Contig1.LOC22.YLEC8a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_039	Contig1	204416	204496	-	RJF.Contig1.LOC17.MHCY4v	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_106	Contig1	297950	298107	-	RJF.Contig1.LOC34.MHCY11o	0	0	0.0698	0.0263	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0.0222	0.00794	0	0	0	0.0303	0	0	0.0102	0.0357
Contig1_071	Contig1	244188	244442	+	RJF.Contig1.LOC27.MHCY7l	0	0.0294	0.14	0.0789	0.00833	0.154	0.05	0	0	0	0	0	0	0	0.0189	0	0	0.0667	0.0159	0	0	0.108	0.364	0.0408	0	0.0408	0.0357
Contig1_168	Contig1	409713	409838	-	RJF.Contig1.LOC52.MHCY20o	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204	0
Contig1_096	Contig1	287180	287305	-	RJF.Contig1.LOC33.MHCY10t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_089	Contig1	275491	275616	-	RJF.Contig1.LOC32.MHCY9i	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0.0119	0	0	0	0	0	0	0	0	0	0.0102	0
Contig1_010	Contig1	159035	159666	+	RJF.Contig1.LOC11.ZNFY2a	0	0	0	0	0.00833	0	0	0.0303	0.0152	0	0.0345	0	0	0	0	0.0595	0.0122	0	0.0159	0	0	0	0	0	0	0.0204	0
Contig1_116	Contig1	326645	326727	-	RJF.Contig1.LOC39.MHCY13e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_058	Contig1	232229	232424	-	RJF.Contig1.LOC23.YLEC9b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_051	Contig1	224214	224295	+	RJF.Contig1.LOC21.MHCY6u	0	0	0	0	0	0	0	0	0	0.0345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_128	Contig1	338764	338858	-	RJF.Contig1.LOC42.MHCY14s	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contig1_150	Contig1	378763	378958	+	RJF.Contig1.LOC49.YLEC19d	0	0	0.0233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
